2020-08-06 22:41:06 status unpacked libsemanage1:armhf 2.7-2build2
2020-08-06 22:41:06 install libsepol1:armhf <none> 2.7-1
2020-08-06 22:41:06 status half-installed libsepol1:armhf 2.7-1
2020-08-06 22:41:06 status unpacked libsepol1:armhf 2.7-1
2020-08-06 22:41:06 status unpacked libsepol1:armhf 2.7-1
2020-08-06 22:41:06 install libsmartcols1:armhf <none> 2.31.1-0.4ubuntu3
2020-08-06 22:41:06 status half-installed libsmartcols1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:06 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:06 status unpacked libsmartcols1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:06 install libss2:armhf <none> 1.44.1-1
2020-08-06 22:41:06 status half-installed libss2:armhf 1.44.1-1
2020-08-06 22:41:06 status unpacked libss2:armhf 1.44.1-1
2020-08-06 22:41:06 status unpacked libss2:armhf 1.44.1-1
2020-08-06 22:41:07 install libsystemd0:armhf <none> 237-3ubuntu10
2020-08-06 22:41:07 status half-installed libsystemd0:armhf 237-3ubuntu10
2020-08-06 22:41:07 status unpacked libsystemd0:armhf 237-3ubuntu10
2020-08-06 22:41:07 status unpacked libsystemd0:armhf 237-3ubuntu10
2020-08-06 22:41:07 install libtinfo5:armhf <none> 6.1-1ubuntu1
2020-08-06 22:41:07 status half-installed libtinfo5:armhf 6.1-1ubuntu1
2020-08-06 22:41:07 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2020-08-06 22:41:07 status unpacked libtinfo5:armhf 6.1-1ubuntu1
2020-08-06 22:41:07 install libudev1:armhf <none> 237-3ubuntu10
2020-08-06 22:41:07 status half-installed libudev1:armhf 237-3ubuntu10
2020-08-06 22:41:07 status unpacked libudev1:armhf 237-3ubuntu10
2020-08-06 22:41:07 status unpacked libudev1:armhf 237-3ubuntu10
2020-08-06 22:41:07 install libuuid1:armhf <none> 2.31.1-0.4ubuntu3
2020-08-06 22:41:07 status half-installed libuuid1:armhf 2.31.1-0.4ubuntu3
